,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Miles_Driven
0,2010,CNG,Manual,First,62,998.0,58.16,5.0,2662,44738
1,2015,Diesel,Manual,First,46,1582.0,126.2,5.0,19015,25476
2,2011,Petrol,Manual,First,42,1199.0,88.7,5.0,6845,28583
3,2012,Diesel,Manual,First,48,1248.0,88.76,7.0,9127,54059
4,2013,Diesel,Automatic,Second,35,1968.0,140.8,5.0,26986,25271
5,2012,LPG,Manual,First,49,814.0,55.2,5.0,3574,46602
6,2013,Diesel,Manual,First,54,1461.0,63.1,5.0,5324,54058
7,2016,Diesel,Automatic,First,26,2755.0,171.5,8.0,26621,22369
8,2013,Diesel,Manual,First,48,1598.0,103.6,5.0,7910,40034
9,2012,Diesel,Manual,Second,52,1248.0,74.0,5.0,2966,40968
10,2018,Petrol,Manual,First,50,1462.0,103.25,5.0,15136,15964
11,2012,Petrol,Automatic,First,39,1497.0,116.3,5.0,6830,37282
12,2015,Diesel,Manual,First,59,1248.0,74.0,5.0,8518,40031
13,2014,Diesel,Automatic,First,29,2179.0,187.7,5.0,41072,44738
14,2012,Diesel,Automatic,Second,0,2179.0,115.0,5.0,26621,52816
15,2014,Diesel,Manual,First,31,2477.0,175.56,7.0,22818,68350
16,2016,Diesel,Manual,First,60,1498.0,98.6,5.0,8214,36629
17,2017,Diesel,Manual,First,66,1248.0,74.0,5.0,9112,15534
18,2014,Diesel,Manual,First,48,1461.0,83.8,5.0,9644,48136
19,2014,Diesel,Automatic,First,34,2143.0,167.62,5.0,42594,48777
20,2014,Diesel,Automatic,First,53,1995.0,190.0,5.0,28218,20494
21,2015,Diesel,Manual,Second,55,1248.0,88.5,5.0,12550,34418
22,2015,Petrol,Automatic,First,31,1984.0,177.01,5.0,35748,34787
23,2010,Petrol,Manual,First,43,1197.0,80.0,5.0,2844,28463
24,2010,Petrol,Automatic,First,33,1598.0,103.6,5.0,4335,20505
25,2012,Petrol,Manual,First,39,1497.0,116.3,5.0,6465,32261
26,2012,Diesel,Manual,First,54,1461.0,63.1,5.0,6465,33554
27,2013,Petrol,Manual,Second,49,998.0,67.1,5.0,4183,33554
28,2018,Petrol,Manual,First,41,1199.0,88.7,5.0,15060,23257
29,2007,Diesel,Manual,Fourth & Above,30,2494.0,102.0,7.0,6084,162799
30,2013,Diesel,Manual,First,44,1461.0,108.45,5.0,11789,38525
31,2012,Petrol,Manual,First,34,1798.0,138.1,5.0,10268,54441
32,2013,Diesel,Automatic,Second,26,2696.0,184.0,7.0,19015,44738
33,2010,Diesel,Automatic,First,29,2698.0,179.5,5.0,17494,21747
34,2014,Petrol,Manual,Second,37,1598.0,103.5,5.0,10618,34443
