,Year,Mileage,Engine,Power,Seats,Price,Miles_Driven,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
0,2010,62,998.0,58.16,5.0,2662,44738,1,0,0,0,0,1,1,0,0,0
1,2015,46,1582.0,126.2,5.0,19015,25476,0,1,0,0,0,1,1,0,0,0
2,2011,42,1199.0,88.7,5.0,6845,28583,0,0,0,1,0,1,1,0,0,0
3,2012,48,1248.0,88.76,7.0,9127,54059,0,1,0,0,0,1,1,0,0,0
4,2013,35,1968.0,140.8,5.0,26986,25271,0,1,0,0,1,0,0,0,1,0
5,2012,49,814.0,55.2,5.0,3574,46602,0,0,1,0,0,1,1,0,0,0
6,2013,54,1461.0,63.1,5.0,5324,54058,0,1,0,0,0,1,1,0,0,0
7,2016,26,2755.0,171.5,8.0,26621,22369,0,1,0,0,1,0,1,0,0,0
8,2013,48,1598.0,103.6,5.0,7910,40034,0,1,0,0,0,1,1,0,0,0
9,2012,52,1248.0,74.0,5.0,2966,40968,0,1,0,0,0,1,0,0,1,0
10,2018,50,1462.0,103.25,5.0,15136,15964,0,0,0,1,0,1,1,0,0,0
11,2012,39,1497.0,116.3,5.0,6830,37282,0,0,0,1,1,0,1,0,0,0
12,2015,59,1248.0,74.0,5.0,8518,40031,0,1,0,0,0,1,1,0,0,0
13,2014,29,2179.0,187.7,5.0,41072,44738,0,1,0,0,1,0,1,0,0,0
14,2012,0,2179.0,115.0,5.0,26621,52816,0,1,0,0,1,0,0,0,1,0
15,2014,31,2477.0,175.56,7.0,22818,68350,0,1,0,0,0,1,1,0,0,0
16,2016,60,1498.0,98.6,5.0,8214,36629,0,1,0,0,0,1,1,0,0,0
17,2017,66,1248.0,74.0,5.0,9112,15534,0,1,0,0,0,1,1,0,0,0
18,2014,48,1461.0,83.8,5.0,9644,48136,0,1,0,0,0,1,1,0,0,0
19,2014,34,2143.0,167.62,5.0,42594,48777,0,1,0,0,1,0,1,0,0,0
20,2014,53,1995.0,190.0,5.0,28218,20494,0,1,0,0,1,0,1,0,0,0
21,2015,55,1248.0,88.5,5.0,12550,34418,0,1,0,0,0,1,0,0,1,0
22,2015,31,1984.0,177.01,5.0,35748,34787,0,0,0,1,1,0,1,0,0,0
23,2010,43,1197.0,80.0,5.0,2844,28463,0,0,0,1,0,1,1,0,0,0
24,2010,33,1598.0,103.6,5.0,4335,20505,0,0,0,1,1,0,1,0,0,0
25,2012,39,1497.0,116.3,5.0,6465,32261,0,0,0,1,0,1,1,0,0,0
26,2012,54,1461.0,63.1,5.0,6465,33554,0,1,0,0,0,1,1,0,0,0
27,2013,49,998.0,67.1,5.0,4183,33554,0,0,0,1,0,1,0,0,1,0
28,2018,41,1199.0,88.7,5.0,15060,23257,0,0,0,1,0,1,1,0,0,0
29,2007,30,2494.0,102.0,7.0,6084,162799,0,1,0,0,0,1,0,1,0,0
30,2013,44,1461.0,108.45,5.0,11789,38525,0,1,0,0,0,1,1,0,0,0
31,2012,34,1798.0,138.1,5.0,10268,54441,0,0,0,1,0,1,1,0,0,0
32,2013,26,2696.0,184.0,7.0,19015,44738,0,1,0,0,1,0,0,0,1,0
33,2010,29,2698.0,179.5,5.0,17494,21747,0,1,0,0,1,0,1,0,0,0
34,2014,37,1598.0,103.5,5.0,10618,34443,0,0,0,1,0,1,0,0,1,0
35,2009,32,1061.0,64.0,5.0,2814,52080,0,0,0,1,0,1,0,0,1,0
36,2018,57,1248.0,88.5,5.0,13128,31115,0,1,0,0,0,1,1,0,0,0
37,2017,42,1198.0,82.0,5.0,7377,32311,0,0,0,1,0,1,1,0,0,0
38,2013,27,2987.0,254.8,5.0,42594,52816,0,1,0,0,1,0,1,0,0,0
39,2013,51,1199.0,73.9,5.0,7606,38525,0,1,0,0,0,1,1,0,0,0
40,2008,46,796.0,46.3,5.0,1901,55923,0,0,0,1,0,1,0,0,1,0
41,2014,59,624.0,37.5,4.0,2327,12239,0,0,0,1,0,1,1,0,0,0
42,2017,59,1198.0,77.0,6.0,8488,13690,0,1,0,0,0,1,1,0,0,0
43,2014,43,1197.0,82.9,5.0,7210,22050,0,0,0,1,0,1,1,0,0,0
44,2014,34,1999.0,149.92,5.0,13462,28815,0,0,0,1,1,0,1,0,0,0
45,2016,33,1798.0,138.03,5.0,15379,32311,0,0,0,1,1,0,1,0,0,0
46,2008,35,1991.0,112.2,5.0,6465,36042,0,1,0,0,0,1,0,0,1,0
47,2012,26,2694.0,163.7,7.0,16657,43933,0,0,0,1,0,1,1,0,0,0
48,2014,57,1120.0,71.0,5.0,5856,46602,0,1,0,0,0,1,1,0,0,0
49,2012,38,2498.0,105.0,6.0,8366,47099,0,1,0,0,0,1,0,0,1,0
